
 Lista de Imóveis da Caixa;;Data de geração:;21/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555534288140 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA VERONICA ANTUNES, N. 57 ;459.323,32;885.000,00;48.10;Casa, 0.00 de área total, 296.79 de área privativa, 450.00 de área do terreno,  5 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534288140
 1444415254194 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA JOAO RAMALHO, N. 108, LT 06 QD A ;155.702,82;300.000,00;48.10;Casa, 0.00 de área total, 221.39 de área privativa, 540.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415254194
 8444400450802 ;RJ ;ARARUAMA ;PARACATU MORRO GRAND ;RUA XI, N. 11, CASA ;103.465,80;199.000,00;48.01;Casa, 261.53 de área total, 261.53 de área privativa, 412.38 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400450802
 1444417060613 ;RJ ;ARARUAMA ;BANANEIRAS ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CS 04 LT 12 ;123.404,52;234.000,00;47.27;Casa, 0.00 de área total, 97.30 de área privativa, 113.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417060613
 1444405378346 ;RJ ;ARARUAMA ;NOVO HORIZONTE (IGUABINHA) ;RUA R INDAIA, N. 255, N. 255, LOTE Nº 31 DA QUADRA Nº 29 ;103.891,84;197.000,00;47.27;Casa, 102.51 de área total, 102.51 de área privativa, 600.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405378346
 1444417473128 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINACAO N SN 110 4B, N. SN, CASA ;121.295,04;230.000,00;47.27;Casa, 0.00 de área total, 81.11 de área privativa, 106.06 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417473128
 8444412876427 ;RJ ;ARARUAMA ;CENTRO (IGUABINHA) ;RUA MADUREIRA, N. 845, CASA 102 ;79.772,31;149.938,65;46.80;Casa, 0.00 de área total, 68.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412876427
 1444400897841 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA DO ENGENHO NOVO N 264 5416LOTEAMENTO VILAR ARA, N. 264, LT 16 QD 54 ;192.338,78;360.000,00;46.58;Casa, 0.00 de área total, 237.93 de área privativa, 628.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400897841
 1555516789362 ;RJ ;ARARUAMA ;ARARUAMA ;AVENIDA BEIRA RIO, N. 370, CASA 102, LOTE 09, QUADRA A ;166.159,33;311.000,00;46.58;Casa, 0.00 de área total, 99.01 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555516789362
 8555505455512 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA MEN DE SA, N. 463, CASA 02 LT 32 QD 11 ;141.582,70;265.000,00;46.58;Casa, 97.69 de área total, 97.69 de área privativa, 265.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555505455512
 1444412307203 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA PORTUGAL, N. 122, CS 102 ;193.989,63;363.089,91;46.58;Casa, 0.00 de área total, 99.12 de área privativa, 402.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412307203
 1444417491410 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA DOUTOR OSWALDO CAMPOS, N. 373, UNID 104 ;130.834,02;244.881,71;46.58;Apartamento, 0.00 de área total, 71.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417491410
 8555518160370 ;RJ ;ARARUAMA ;LOT LOGOARAMA ;RUA  TIRADENTES, N. 37, CS 08, LT 25A, QD P ;109.511,87;204.936,00;46.57;Casa, 0.00 de área total, 67.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518160370
 1444407595930 ;RJ ;ARARUAMA ;CENTRO (MORRO GRANDE) ;R REX, N. 100, QD17-A, LT375 ;120.421,11;222.000,00;45.76;Casa, 134.40 de área total, 134.40 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407595930
 8555512635350 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA GOMES CARNEIRO, N. 532, CASA 02 ;72.332,66;133.000,00;45.62;Casa, 0.00 de área total, 69.78 de área privativa, 176.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512635350
 8555509940911 ;RJ ;ARARUAMA ;FAZENDINHA ;ESTRADA DE ARARUAMA, N. 1209, CS 10 ;119.673,87;220.000,00;45.61;Casa, 0.00 de área total, 59.74 de área privativa, 120.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555509940911
 1444417461120 ;RJ ;ARARUAMA ;PARQUE HOTEL ;ESTRADA ARARUAMA RIO BONITO, N. SN, LOTE 7  QUADRA 57 ;139.966,62;254.698,08;45.05;Terreno, 0.00 de área total, 0.00 de área privativa, 490.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417461120
 1444417161592 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERA, N. 1071, CS 103 ;134.087,60;244.000,00;45.05;Casa, 55.08 de área total, 55.08 de área privativa, 496.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417161592
 1444417596297 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERA N 1071 101 K20LOT FAZENDA DA P, N. 101 ;137.384,84;250.000,00;45.05;Casa, 0.00 de área total, 59.45 de área privativa, 61.05 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417596297
 1444408535868 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA OSVALDO CAMPOS, N. 373, UNID111 LT41A ;108.713,51;195.000,00;44.25;Casa, 0.00 de área total, 71.00 de área privativa, 74.36 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408535868
 8444404425063 ;RJ ;ARARUAMA ;SAO VICENTE DE PAULA ;ESTRADA DE SAO VICENTE RUA INTERNA, N. SN, UNIDADE 30 ;76.246,82;135.000,00;43.53;Casa, 0.00 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404425063
 8444419308076 ;RJ ;ARARUAMA ;PARATY ;RUA JURUA, N. 100, CS 06 LT 21 ;73.422,86;130.000,00;43.53;Casa, 0.00 de área total, 57.00 de área privativa, 900.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419308076
 1444407697368 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA SANTA CLARISSE, N. 220, LT 05 QD 47 ;159.839,63;283.000,00;43.52;Casa, 0.00 de área total, 240.00 de área privativa, 600.00 de área do terreno,  6 qto(s), a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407697368
 1444412686166 ;RJ ;ARARUAMA ;PARQUE MATARUNA ;RUA  CALOS EVELLES CASTANHO, N. 73, 1DIST QD03 LT20A ;160.969,24;285.000,00;43.52;Casa, 0.00 de área total, 176.60 de área privativa, 256.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412686166
 8444404819207 ;RJ ;ARARUAMA ;MONTEIRO SAO VICENTE ;ESTRADA SAO DE VICENTE, N. SN, CS 18 ;71.654,14;125.000,00;42.68;Casa, 0.00 de área total, 58.46 de área privativa, 163.93 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404819207
 1444409109110 ;RJ ;ARARUAMA ;NOVO HORIZONTE(IGUAB ;RUA PARANAPUA, N. 50, CASA 02 ;140.527,80;245.000,00;42.65;Casa, 0.00 de área total, 72.41 de área privativa, 194.76 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409109110
